T1,T2,T3,T4,T5
https://why-1305585395.cos.na-siliconvalley.myqcloud.com/xiao/2023-07-25-%E8%A1%A3%E6%9C%8D.png,不穿衣服,0,秒,从现在起，所有人都不能穿衣服了
https://why-1305585395.cos.na-siliconvalley.myqcloud.com/xiao/2023-07-25-%E5%B0%B4%E5%B0%AC.png,感到尴尬,10,秒后,人们开始感到尴尬
https://why-1305585395.cos.na-siliconvalley.myqcloud.com/xiao/2023-07-25-%E5%8F%97%E4%BC%A4.png,容易受伤,15,秒后,没有衣服的保护，人们很容易受伤
https://why-1305585395.cos.na-siliconvalley.myqcloud.com/xiao/2023-07-25-%E5%A4%A7%E5%B0%8F.png,比较大小,2,分钟后,男人会比较丁丁的大小，女人会比较胸部的大小
https://why-1305585395.cos.na-siliconvalley.myqcloud.com/xiao/2023-07-25-%E5%8D%B1%E9%99%A9.png,女性会遇到危险,3,小时后,没有了衣服，女性很容易被坏人盯上
https://why-1305585395.cos.na-siliconvalley.myqcloud.com/xiao/2023-07-25-%E9%81%BF%E5%BC%80%E4%BA%BA%E7%BE%A4.png,远离人群,12,小时后,有些人会远离人群，呆在家里
https://why-1305585395.cos.na-siliconvalley.myqcloud.com/xiao/2023-07-25-%E7%A6%81%E6%AD%A2%E7%9C%BC%E7%9D%9B.png,无法直视的场景,1,天后,当有人弯腰捡东西，身后的人会看见某些不可描述的部位
https://why-1305585395.cos.na-siliconvalley.myqcloud.com/xiao/2023-07-25-%E6%B8%85%E6%B4%81.png,过度清洁,3,天后,不穿衣服很容易弄脏身体，所以有的人会洗很多次澡
https://why-1305585395.cos.na-siliconvalley.myqcloud.com/xiao/2023-07-25-%E7%A7%98%E5%AF%86%E6%B6%88%E6%81%AF.png,没有秘密,4,天后,尤其是男人，行不行一下就看出来了
https://why-1305585395.cos.na-siliconvalley.myqcloud.com/xiao/2023-07-25-%E9%99%A4%E8%87%AD%E5%89%82.png,闻到臭味,10,天后,你会闻到不同人身上的臭味
https://why-1305585395.cos.na-siliconvalley.myqcloud.com/xiao/2023-07-25-%E6%84%9F%E5%86%92.png,容易感冒,15,天后,体质不好的人会经常感冒
https://why-1305585395.cos.na-siliconvalley.myqcloud.com/xiao/2023-07-25-%E6%AF%9B%E5%B7%BE.png,人手一条毛巾,17,天后,为了身体健康，每个人出门时会携带一条毛巾，需要落座时就用毛巾垫着
https://why-1305585395.cos.na-siliconvalley.myqcloud.com/xiao/2023-07-25-%E6%96%87%E4%BB%B6%E8%A7%A3%E9%94%81.png,禁令解开,30,天后,人们可以再次穿上衣服
