emoji,emoji_unicode,emoji_description_hyphen,emoji_description_space,translated_description
⌚,0x231a,watch,watch,手表
⌛,0x231b,hourglass-done,hourglass done,沙漏完成
⏰,23F0,alarm-clock,alarm clock,闹钟
⏳,23F3,hourglass-not-done,hourglass not done,沙漏未完成
◽,0x25fd,white-medium-small-square,white medium small square,白色中小正方形
◾,0x25fe,black-medium-small-square,black medium small square,黑色中号小方块
☔,0x2614,umbrella-with-rain-drops,umbrella with rain drops,有雨滴的雨伞
☕,0x2615,hot-beverage,hot beverage,热饮
♈,0x2648,Aries,Aries,白羊座
♉,0x2649,Pisces,Pisces,双鱼座
♿,267F,wheelchair-symbol,wheelchair symbol,轮椅符号
⚓,2693,anchor,anchor,锚
⚡,26A1,high-voltage,high voltage,高压
⚪,0x26aa,white-circle,white circle,白色圆圈
⚫,0x26ab,black-circle,black circle,黑色圆圈
⚽,0x26bd,soccer-ball,soccer ball,足球
⚾,0x26be,baseball,baseball,棒球
⛄,0x26c4,snowman-without-snow,snowman without snow,没有雪的雪人
⛅,0x26c5,sun-behind-cloud,sun behind cloud,云层后面的太阳
⛎,26CE,Ophiuchus,Ophiuchus,蛇夫座
⛔,26D4,no-entry,no entry,禁止驶入
⛪,26EA,church,church,教会
⛲,0x26f2,fountain,fountain,喷泉
⛳,0x26f3,flag-in-hole,flag in hole,旗子插在洞里
⛵,26F5,sailboat,sailboat,帆船
⛺,26FA,tent,tent,帐篷
⛽,26FD,fuel-pump,fuel pump,燃油泵
✊,0x270a,raised-fist,raised fist,举起拳头
✋,0x270b,raised-hand,raised hand,举起手
✨,2728,sparkles,sparkles,闪闪发光
❌,274C,cross-mark,cross mark,十字标记
❓,0x2753,red-question-mark,red question mark,红色问号
❔,0x2754,white-exclamation-mark,white exclamation mark,白色感叹号
❗,2757,red-exclamation-mark,red exclamation mark,红色感叹号
➕,0x2795,plus,plus,加
➖,0x2796,divide,divide,划分
➰,27B0,curly-loop,curly loop,卷曲环
➿,27BF,double-curly-loop,double curly loop,双卷曲环
⬛,0x2b1b,black-large-square,black large square,黑色大方块
⬜,0x2b1c,white-large-square,white large square,白色大正方形
⭐,2B50,star,star,星星
⭕,2B55,hollow-red-circle,hollow red circle,空心红色圆圈
🀄,1F004,mahjong-red-dragon,mahjong red dragon,麻将红龙
🃏,1F0CF,joker,joker,小丑
🌀,0x1f300,cyclone,cyclone,气旋
🌁,0x1f301,milky-way,milky way,银河系
🌍,0x1f30d,globe-showing-Europe-Africa,globe showing Europe Africa,显示欧洲非洲的地球仪
🌎,0x1f30e,globe-showing-Americas,globe showing Americas,显示美洲的地球仪
🌏,1F30F,globe-showing-Asia-Australia,globe showing Asia Australia,显示亚洲澳大利亚的地球仪
🌐,1F310,globe-with-meridians,globe with meridians,有经络的地球仪
🌑,1F311,new-moon,new moon,新月
🌒,1F312,waxing-crescent-moon,waxing crescent moon,上弦月
🌓,0x1f313,first-quarter-moon,first quarter moon,上弦月
🌔,0x1f314,full-moon,full moon,满月
🌖,0x1f316,waning-gibbous-moon,waning gibbous moon,亏凸月
🌗,0x1f317,waning-crescent-moon,waning crescent moon,残月
🌙,1F319,crescent-moon,crescent moon,新月
🌚,1F31A,new-moon-face,new moon face,新月脸
🌛,1F31B,first-quarter-moon-face,first quarter moon face,上弦月脸
🌜,1F31C,last-quarter-moon-face,last quarter moon face,下弦月脸
🌝,0x1f31d,full-moon-face,full moon face,满月脸
🌞,0x1f31e,sun-with-face,sun with face,太阳与脸
🌟,0x1f31f,glowing-star,glowing star,发光的星星
🌠,0x1f320,shooting-star,shooting star,流星
🌭,0x1f32d,hot-dog,hot dog,热狗
🌮,0x1f32e,burrito,burrito,墨西哥卷饼
🌰,0x1f330,chestnut,chestnut,板栗
🌱,0x1f331,seedling,seedling,幼苗
🌲,0x1f332,evergreen-tree,evergreen tree,常青树
🌳,0x1f333,deciduous-tree,deciduous tree,落叶树
🌴,0x1f334,palm-tree,palm tree,棕榈树
🌵,0x1f335,cactus,cactus,仙人掌
🌷,0x1f337,tulip,tulip,郁金香
🌸,0x1f338,tangerine,tangerine,柑橘
🍋,1F34B,lemon,lemon,柠檬
🍌,0x1f34c,banana,banana,香蕉
🍍,0x1f34d,green-apple,green apple,青苹果
🍐,1F350,pear,pear,梨
🍑,0x1f351,peach,peach,桃
🍒,0x1f352,clinking-beer-mugs,clinking beer mugs,叮当作响的啤酒杯
🍼,1F37C,baby-bottle,baby bottle,婴儿奶瓶
🍾,0x1f37e,bottle-with-popping-cork,bottle with popping cork,软木塞爆开的瓶子
🍿,0x1f37f,popcorn,popcorn,爆米花
🎀,0x1f380,ribbon,ribbon,丝带
🎁,0x1f381,graduation-cap,graduation cap,毕业帽
🎠,0x1f3a0,carousel-horse,carousel horse,旋转木马
🎡,0x1f3a1,person-surfing,person surfing,冲浪的人
🏅,1F3C5,sports-medal,sports medal,体育奖牌
🏆,1F3C6,trophy,trophy,杯
🏇,1F3C7,horse-racing,horse racing,赛马
🏈,1F3C8,american-football,american football,美式足球
🏉,1F3C9,rugby-football,rugby football,橄榄球
🏊,1F3CA,person-swimming,person swimming,游泳的人
🏏,0x1f3cf,cricket-game,cricket game,板球比赛
🏐,0x1f3d0,ping-pong,ping pong,乒乓
🏠,0x1f3e0,house,house,房子
🏡,0x1f3e1,Japanese-post-office,Japanese post office,日本邮局
🏤,1F3E4,post-office,post office,邮局
🏥,0x1f3e5,hospital,hospital,医院
🏦,0x1f3e6,castle,castle,城堡
🏴,1F3F4,black-flag,black flag,黑旗
🏸,0x1f3f8,badminton,badminton,羽毛球
🏹,0x1f3f9,rabbit,rabbit,兔子
🐈,1F408,cat,cat,猫
🐉,0x1f409,dragon,dragon,龙
🐊,0x1f40a,whale,whale,鲸
🐌,0x1f40c,snail,snail,蜗牛
🐍,0x1f40d,horse,horse,马
🐏,0x1f40f,ram,ram,内存
🐐,0x1f410,goat,goat,山羊
🐑,0x1f411,ewe,ewe,叶子
🐒,0x1f412,monkey,monkey,猴
🐓,1F413,rooster,rooster,公鸡
🐔,1F414,chicken,chicken,鸡
🐕,1F415,dog,dog,狗
🐖,1F416,pig,pig,猪
🐗,0x1f417,boar,boar,公猪
🐘,0x1f418,poodle,poodle,贵宾犬
🐪,1F42A,camel,camel,骆驼
🐫,0x1f42b,two-hump-camel,two hump camel,两驼峰
🐬,0x1f42c,paw-prints,paw prints,掌印
👀,1F440,eyes,eyes,眼睛
👂,0x1f442,ear,ear,耳朵
👃,0x1f443,bust-in-silhouette,bust in silhouette,半身像的剪影
👥,1F465,busts-in-silhouette,busts in silhouette,半身像的剪影
👦,0x1f466,boy,boy,男生
👧,0x1f467,woman-and-man-holding-hands,woman and man holding hands,女人和男人手牵着手
👬,0x1f46c,men-holding-hands,men holding hands,男人手牵手
👭,0x1f46d,women-holding-hands,women holding hands,妇女手牵着手
👮,0x1f46e,police-officer,police officer,警官
👯,0x1f46f,speech-balloon,speech balloon,语音气球
💭,1F4AD,thought-balloon,thought balloon,思想气球
💮,0x1f4ae,white-flower,white flower,白色的花
💯,0x1f4af,dollar-banknote,dollar banknote,美元钞票
💶,0x1f4b6,euro-banknote,euro banknote,欧元纸币
💷,0x1f4b7,pound-banknote,pound banknote,英镑钞票
💸,0x1f4b8,money-with-wings,money with wings,带翅膀的钱
💹,0x1f4b9,closed-mailbox-with-raised-flag,closed mailbox with raised flag,带有升旗的封闭邮箱
📬,0x1f4ec,open-mailbox-with-raised-flag,open mailbox with raised flag,打开带有升旗的邮箱
📭,0x1f4ed,open-mailbox-with-lowered-flag,open mailbox with lowered flag,打开邮箱并降下旗帜
📮,1F4EE,postbox,postbox,邮箱
📯,1F4EF,postal-horn,postal horn,邮政号角
📰,0x1f4f0,newspaper,newspaper,报纸
📱,0x1f4f1,mobile-phone-off,mobile phone off,手机关机
📵,1F4F5,no-mobile-phones,no mobile phones,没有手机
📶,0x1f4f6,antenna-bars,antenna bars,天线棒
📷,0x1f4f7,camera,camera,相机
📸,1F4F8,camera-with-flash,camera with flash,带闪光灯的相机
📹,0x1f4f9,video-camera,video camera,录影机
📺,0x1f4fa,videocassette,videocassette,录像带
📿,0x1f4ff,prayer-beads,prayer beads,念珠
🔃,1F503,clockwise-vertical-arrows,clockwise vertical arrows,顺时针垂直箭头
🔅,0x1f505,muted-speaker,muted speaker,静音扬声器
🔈,1F508,speaker-low-volume,speaker low volume,扬声器音量小
🔉,1F509,speaker-medium-volume,speaker medium volume,扬声器中等音量
🔊,0x1f50a,speaker-high-volume,speaker high volume,扬声器高音量
🔋,0x1f50b,bell,bell,钟
🔕,1F515,bell-with-slash,bell with slash,带斜线的钟形
🔖,0x1f516,bookmark,bookmark,书签
🔗,0x1f517,water-pistol,water pistol,水枪
🔬,0x1f52c,microscope,microscope,显微镜
🔭,0x1f52d,telescope,telescope,望远镜
🔮,0x1f52e,crystal-ball,crystal ball,水晶球
