/imagine prompt: A couple is holding hands while walking along the beach, feeling content,in the style of graphic design-inspired illustrations, playful animation, conceptual digitalism, animated gifs, colorful portraiture, everyday life, pink and blue --ar 2:1 --v 5.1  --repeat 5
/imagine prompt: Two people are sharing a romantic dinner at a restaurant, feeling love in the air,in the style of graphic design-inspired illustrations, playful animation, conceptual digitalism, animated gifs, colorful portraiture, everyday life, pink and blue --ar 2:1 --v 5.1 --repeat 5
/imagine prompt: A pair is ice-skating together at an outdoor rink, laughing and enjoying each other's company,in the style of graphic design-inspired illustrations, playful animation, conceptual digitalism, animated gifs, colorful portraiture, everyday life, pink and blue --ar 2:1 --v 5.1 --repeat 5
/imagine prompt: A couple is sitting by a bonfire, wrapped in a blanket, gazing at the stars, feeling at peace,in the style of graphic design-inspired illustrations, playful animation, conceptual digitalism, animated gifs, colorful portraiture, everyday life, pink and blue --ar 2:1 --v 5.1 --repeat 5
/imagine prompt: Two lovebirds are slow dancing in a moonlit garden, lost in each other's eyes,in the style of graphic design-inspired illustrations, playful animation, conceptual digitalism, animated gifs, colorful portraiture, everyday life, pink and blue --ar 2:1 --v 5.1 --repeat 5
/imagine prompt: A couple is taking a romantic gondola ride in Venice, feeling the magic of the city,in the style of graphic design-inspired illustrations, playful animation, conceptual digitalism, animated gifs, colorful portraiture, everyday life, pink and blue --ar 2:1 --v 5.1 --repeat 5
/imagine prompt: Two people are watching the sunset on a rooftop terrace, sharing a sweet embrace,in the style of graphic design-inspired illustrations, playful animation, conceptual digitalism, animated gifs, colorful portraiture, everyday life, pink and blue --ar 2:1 --v 5.1 --repeat 5
/imagine prompt: A couple is exploring a scenic hiking trail, feeling adventurous and connected,in the style of graphic design-inspired illustrations, playful animation, conceptual digitalism, animated gifs, colorful portraiture, everyday life, pink and blue --ar 2:1 --v 5.1 --repeat 5
/imagine prompt: Two partners are trying their hand at pottery, laughing at their messy creations,in the style of graphic design-inspired illustrations, playful animation, conceptual digitalism, animated gifs, colorful portraiture, everyday life, pink and blue --ar 2:1 --v 5.1 --repeat 5
/imagine prompt: A couple is enjoying a quiet picnic in a secluded meadow, feeling serene and happy,in the style of graphic design-inspired illustrations, playful animation, conceptual digitalism, animated gifs, colorful portraiture, everyday life, pink and blue --ar 2:1 --v 5.1 --repeat 5
/imagine prompt: Two people are kayaking together on a calm lake, basking in the warm sun,in the style of graphic design-inspired illustrations, playful animation, conceptual digitalism, animated gifs, colorful portraiture, everyday life, pink and blue --ar 2:1 --v 5.1 --repeat 5
/imagine prompt: A couple is riding a tandem bicycle through a quaint village, feeling exhilarated,in the style of graphic design-inspired illustrations, playful animation, conceptual digitalism, animated gifs, colorful portraiture, everyday life, pink and blue --ar 2:1 --v 5.1 --repeat 5
/imagine prompt: Two people are sharing a cozy blanket while watching an outdoor movie, feeling enchanted,in the style of graphic design-inspired illustrations, playful animation, conceptual digitalism, animated gifs, colorful portraiture, everyday life, pink and blue --ar 2:1 --v 5.1 --repeat 5
/imagine prompt: A couple is browsing a local art gallery, discussing their favorite pieces passionately,in the style of graphic design-inspired illustrations, playful animation, conceptual digitalism, animated gifs, colorful portraiture, everyday life, pink and blue --ar 2:1 --v 5.1 --repeat 5
/imagine prompt: Two lovebirds are strolling through a bustling farmer's market, hand in hand, enjoying the lively atmosphere,in the style of graphic design-inspired illustrations, playful animation, conceptual digitalism, animated gifs, colorful portraiture, everyday life, pink and blue --ar 2:1 --v 5.1 --repeat 5
/imagine prompt: A couple is playing a game of chess in a quiet park, feeling playful and competitive,in the style of graphic design-inspired illustrations, playful animation, conceptual digitalism, animated gifs, colorful portraiture, everyday life, pink and blue --ar 2:1 --v 5.1 --repeat 5
/imagine prompt: Two people are dancing in the rain on a city sidewalk, feeling free and invigorated,in the style of graphic design-inspired illustrations, playful animation, conceptual digitalism, animated gifs, colorful portraiture, everyday life, pink and blue --ar 2:1 --v 5.1 --repeat 5
/imagine prompt: A couple is cooking a meal together in their kitchen, laughing and bonding over the shared task,in the style of graphic design-inspired illustrations, playful animation, conceptual digitalism, animated gifs, colorful portraiture, everyday life, pink and blue --ar 2:1 --v 5.1 --repeat 5
/imagine prompt: Two partners are practicing yoga together at a peaceful retreat, feeling relaxed and centered,in the style of graphic design-inspired illustrations, playful animation, conceptual digitalism, animated gifs, colorful portraiture, everyday life, pink and blue --ar 2:1 --v 5.1 --repeat 5
/imagine prompt: A couple is exploring a charming bookshop, sharing their favorite reads with each other,in the style of graphic design-inspired illustrations, playful animation, conceptual digitalism, animated gifs, colorful portraiture, everyday life, pink and blue --ar 2:1 --v 5.1 --repeat 5
/imagine prompt: Two people are sipping coffee together at a quaint café, lost in meaningful conversation,in the style of graphic design-inspired illustrations, playful animation, conceptual digitalism, animated gifs, colorful portraiture, everyday life, pink and blue --ar 2:1 --v 5.1 --repeat 5
/imagine prompt: A couple is building a sandcastle on a sunny beach, feeling creative and lighthearted,in the style of graphic design-inspired illustrations, playful animation, conceptual digitalism, animated gifs, colorful portraiture, everyday life, pink and blue --ar 2:1 --v 5.1 --repeat 5
/imagine prompt: Two partners are attending a live music performance, swaying together to the rhythm,in the style of graphic design-inspired illustrations, playful animation, conceptual digitalism, animated gifs, colorful portraiture, everyday life, pink and blue --ar 2:1 --v 5.1 --repeat 5
/imagine prompt: A couple is watching a breathtaking fireworks display, feeling a sense of awe and wonder,in the style of graphic design-inspired illustrations, playful animation, conceptual digitalism, animated gifs, colorful portraiture, everyday life, pink and blue --ar 2:1 --v 5.1 --repeat 5
/imagine prompt: Two people are sharing an umbrella during a gentle rain, feeling cozy and protected,in the style of graphic design-inspired illustrations, playful animation, conceptual digitalism, animated gifs, colorful portraiture, everyday life, pink and blue --ar 2:1 --v 5.1 --repeat 5
/imagine prompt: A couple is rollerblading together in a park, feeling energetic and carefree,in the style of graphic design-inspired illustrations, playful animation, conceptual digitalism, animated gifs, colorful portraiture, everyday life, pink and blue --ar 2:1 --v 5.1 --repeat 5
/imagine prompt: Two people are enjoying a carriage ride through a historic city, feeling nostalgic and romantic,in the style of graphic design-inspired illustrations, playful animation, conceptual digitalism, animated gifs, colorful portraiture, everyday life, pink and blue --ar 2:1 --v 5.1 --repeat 5
/imagine prompt: A couple is visiting an amusement park, laughing as they ride the Ferris wheel,in the style of graphic design-inspired illustrations, playful animation, conceptual digitalism, animated gifs, colorful portraiture, everyday life, pink and blue --ar 2:1 --v 5.1 --repeat 5
/imagine prompt: Two partners are participating in a dance class, stepping in sync to the music,in the style of graphic design-inspired illustrations, playful animation, conceptual digitalism, animated gifs, colorful portraiture, everyday life, pink and blue --ar 2:1 --v 5.1 --repeat 5
/imagine prompt: A couple is taking a scenic drive through the countryside, feeling relaxed and connected,in the style of graphic design-inspired illustrations, playful animation, conceptual digitalism, animated gifs, colorful portraiture, everyday life, pink and blue --ar 2:1 --v 5.1 --repeat 5
/imagine prompt: Two people are attending a wine tasting event, savoring the flavors together,in the style of graphic design-inspired illustrations, playful animation, conceptual digitalism, animated gifs, colorful portraiture, everyday life, pink and blue --ar 2:1 --v 5.1 --repeat 5
/imagine prompt: A couple is visiting a botanical garden, admiring the beauty of the blooming flowers,in the style of graphic design-inspired illustrations, playful animation, conceptual digitalism, animated gifs, colorful portraiture, everyday life, pink and blue --ar 2:1 --v 5.1 --repeat 5
/imagine prompt: Two lovebirds are sitting on a hill, watching the city lights twinkle below,in the style of graphic design-inspired illustrations, playful animation, conceptual digitalism, animated gifs, colorful portraiture, everyday life, pink and blue --ar 2:1 --v 5.1 --repeat 5
/imagine prompt: A couple is attending a painting class, creating art together and feeling inspired,in the style of graphic design-inspired illustrations, playful animation, conceptual digitalism, animated gifs, colorful portraiture, everyday life, pink and blue --ar 2:1 --v 5.1 --repeat 5
/imagine prompt: Two people are exploring a museum, discussing their favorite exhibits and learning together,in the style of graphic design-inspired illustrations, playful animation, conceptual digitalism, animated gifs, colorful portraiture, everyday life, pink and blue --ar 2:1 --v 5.1 --repeat 5
/imagine prompt: A couple is sitting by a tranquil lake, skipping stones and enjoying the peacefulness,in the style of graphic design-inspired illustrations, playful animation, conceptual digitalism, animated gifs, colorful portraiture, everyday life, pink and blue --ar 2:1 --v 5.1 --repeat 5
/imagine prompt: Two partners are watching a play in a local theater, feeling cultured and entertained,in the style of graphic design-inspired illustrations, playful animation, conceptual digitalism, animated gifs, colorful portraiture, everyday life, pink and blue --ar 2:1 --v 5.1 --repeat 5
/imagine prompt: A couple is hiking to a secluded waterfall, admiring its beauty hand in hand,in the style of graphic design-inspired illustrations, playful animation, conceptual digitalism, animated gifs, colorful portraiture, everyday life, pink and blue --ar 2:1 --v 5.1 --repeat 5
/imagine prompt: Two people are visiting an animal sanctuary, feeling compassionate and connected,in the style of graphic design-inspired illustrations, playful animation, conceptual digitalism, animated gifs, colorful portraiture, everyday life, pink and blue --ar 2:1 --v 5.1 --repeat 5
/imagine prompt: A couple is attending a sports event, cheering for their favorite team together,in the style of graphic design-inspired illustrations, playful animation, conceptual digitalism, animated gifs, colorful portraiture, everyday life, pink and blue --ar 2:1 --v 5.1 --repeat 5
/imagine prompt: Two partners are taking a scenic hot air balloon ride, feeling awe and excitement as they float above the landscape,in the style of graphic design-inspired illustrations, playful animation, conceptual digitalism, animated gifs, colorful portraiture, everyday life, pink and blue --ar 2:1 --v 5.1 --repeat 5
/imagine prompt: A couple is stargazing at a remote observatory, feeling humbled by the vastness of the universe,in the style of graphic design-inspired illustrations, playful animation, conceptual digitalism, animated gifs, colorful portraiture, everyday life, pink and blue --ar 2:1 --v 5.1 --repeat 5
/imagine prompt: Two people are learning a new language together, laughing at their mistakes and supporting each other,in the style of graphic design-inspired illustrations, playful animation, conceptual digitalism, animated gifs, colorful portraiture, everyday life, pink and blue --ar 2:1 --v 5.1 --repeat 5
/imagine prompt: A couple is participating in a volunteer activity, feeling a sense of purpose and connection as they help others,in the style of graphic design-inspired illustrations, playful animation, conceptual digitalism, animated gifs, colorful portraiture, everyday life, pink and blue --ar 2:1 --v 5.1 --repeat 5
/imagine prompt: Two lovebirds are attending a poetry reading at a local library, feeling inspired and moved by the words,in the style of graphic design-inspired illustrations, playful animation, conceptual digitalism, animated gifs, colorful portraiture, everyday life, pink and blue --ar 2:1 --v 5.1 --repeat 5
/imagine prompt: A couple is exploring a street fair, trying new foods and enjoying the lively atmosphere together,in the style of graphic design-inspired illustrations, playful animation, conceptual digitalism, animated gifs, colorful portraiture, everyday life, pink and blue --ar 2:1 --v 5.1 --repeat 5
/imagine prompt: Two partners are visiting an aquarium, marveling at the diverse underwater creatures,in the style of graphic design-inspired illustrations, playful animation, conceptual digitalism, animated gifs, colorful portraiture, everyday life, pink and blue --ar 2:1 --v 5.1 --repeat 5
/imagine prompt: A couple is taking a relaxing stroll through a tranquil forest, feeling at one with nature and each other,in the style of graphic design-inspired illustrations, playful animation, conceptual digitalism, animated gifs, colorful portraiture, everyday life, pink and blue --ar 2:1 --v 5.1 --repeat 5
/imagine prompt: Two people are attending a cooking class, learning new recipes and techniques to enjoy in their shared culinary journey,in the style of graphic design-inspired illustrations, playful animation, conceptual digitalism, animated gifs, colorful portraiture, everyday life, pink and blue --ar 2:1 --v 5.1 --repeat 5
/imagine prompt: A couple is holding hands while walking along the beach, feeling content,in the style of graphic design-inspired illustrations, playful animation, conceptual digitalism, animated gifs, colorful portraiture, everyday life, pink and blue --ar 1:2 --s 750 --v 5.1  --repeat 5
/imagine prompt: Two people are sharing a romantic dinner at a restaurant, feeling love in the air,in the style of graphic design-inspired illustrations, playful animation, conceptual digitalism, animated gifs, colorful portraiture, everyday life, pink and blue --ar 1:2 --s 750 --v 5.1 --repeat 5
